subject,flow,ps,imp,dep,imp_cm3,dep_predict,dep_bestfit
PD01,18LPM,1,18,0.002562526,300,0.000568757,0.000842043
PD01,45LPM,1,45,0.005970763,750,0.002694637,0.004156181
PD07,18LPM,1,18,0.003567788,300,0.000568757,0.000842043
PD07,45LPM,1,45,0.007390679,750,0.002694637,0.004156181
PD03,18LPM,1,18,0.007238989,300,0.000568757,0.000842043
PD03,45LPM,1,45,0.015318627,750,0.002694637,0.004156181
PD02,18LPM,1,18,0.013820639,300,0.000568757,0.000842043
PD02,45LPM,1,45,0.023981808,750,0.002694637,0.004156181
PD08,18LPM,1,18,0.020610055,300,0.000568757,0.000842043
PD08,45LPM,1,45,0.043384176,750,0.002694637,0.004156181
PD20,18LPM,1,18,0.02230674,300,0.000568757,0.000842043
PD20,45LPM,1,45,0.047107434,750,0.002694637,0.004156181
PD21,18LPM,1,18,0.013397422,300,0.000568757,0.000842043
PD21,45LPM,1,45,0.0260583,750,0.002694637,0.004156181
PD09,18LPM,1,18,0.014887064,300,0.000568757,0.000842043
PD09,45LPM,1,45,0.032522011,750,0.002694637,0.004156181
PD19,18LPM,1,18,0.010452962,300,0.000568757,0.000842043
PD19,45LPM,1,45,0.019545318,750,0.002694637,0.004156181
PD10,18LPM,1,18,0.01217765,300,0.000568757,0.000842043
PD10,45LPM,1,45,0.026815984,750,0.002694637,0.004156181
PD13,18LPM,1,18,0.006861239,300,0.000568757,0.000842043
PD13,45LPM,1,45,0.014497224,750,0.002694637,0.004156181
PD01,18LPM,2,72,0.003990995,1200,0.005971385,0.009392866
PD01,45LPM,2,180,0.008092604,3000,0.027730695,0.044850896
PD07,18LPM,2,72,0.00356706,1200,0.005971385,0.009392866
PD07,45LPM,2,180,0.009797917,3000,0.027730695,0.044850896
PD03,18LPM,2,72,0.00945218,1200,0.005971385,0.009392866
PD03,45LPM,2,180,0.021783388,3000,0.027730695,0.044850896
PD02,18LPM,2,72,0.014269698,1200,0.005971385,0.009392866
PD02,45LPM,2,180,0.044786851,3000,0.027730695,0.044850896
PD08,18LPM,2,72,0.021997131,1200,0.005971385,0.009392866
PD08,45LPM,2,180,0.120739225,3000,0.027730695,0.044850896
PD20,18LPM,2,72,0.028317319,1200,0.005971385,0.009392866
PD20,45LPM,2,180,0.14074836,3000,0.027730695,0.044850896
PD21,18LPM,2,72,0.013647011,1200,0.005971385,0.009392866
PD21,45LPM,2,180,0.046835052,3000,0.027730695,0.044850896
PD09,18LPM,2,72,0.01973012,1200,0.005971385,0.009392866
PD09,45LPM,2,180,0.092700954,3000,0.027730695,0.044850896
PD19,18LPM,2,72,0.010013282,1200,0.005971385,0.009392866
PD19,45LPM,2,180,0.026814039,3000,0.027730695,0.044850896
PD10,18LPM,2,72,0.025894581,1200,0.005971385,0.009392866
PD10,45LPM,2,180,0.116620748,3000,0.027730695,0.044850896
PD13,18LPM,2,72,0.00805958,1200,0.005971385,0.009392866
PD13,45LPM,2,180,0.015882775,3000,0.027730695,0.044850896
PD01,18LPM,3,162,0.005114566,2700,0.023289088,0.037597928
PD01,45LPM,3,405,0.013930146,6750,0.101696825,0.162106192
PD07,18LPM,3,162,0.007757476,2700,0.023289088,0.037597928
PD07,45LPM,3,405,0.01244898,6750,0.101696825,0.162106192
PD03,18LPM,3,162,0.012107029,2700,0.023289088,0.037597928
PD03,45LPM,3,405,0.053946968,6750,0.101696825,0.162106192
PD02,18LPM,3,162,0.018495809,2700,0.023289088,0.037597928
PD02,45LPM,3,405,0.195322125,6750,0.101696825,0.162106192
PD08,18LPM,3,162,0.073585098,2700,0.023289088,0.037597928
PD08,45LPM,3,405,0.391883551,6750,0.101696825,0.162106192
PD20,18LPM,3,162,0.080425659,2700,0.023289088,0.037597928
PD20,45LPM,3,405,0.563582622,6750,0.101696825,0.162106192
PD21,18LPM,3,162,0.018933228,2700,0.023289088,0.037597928
PD21,45LPM,3,405,0.180073522,6750,0.101696825,0.162106192
PD09,18LPM,3,162,0.053282881,2700,0.023289088,0.037597928
PD09,45LPM,3,405,0.349523522,6750,0.101696825,0.162106192
PD19,18LPM,3,162,0.014923847,2700,0.023289088,0.037597928
PD19,45LPM,3,405,0.061201514,6750,0.101696825,0.162106192
PD10,18LPM,3,162,0.086947666,2700,0.023289088,0.037597928
PD10,45LPM,3,405,0.260696793,6750,0.101696825,0.162106192
PD13,18LPM,3,162,0.007653842,2700,0.023289088,0.037597928
PD13,45LPM,3,405,0.032413089,6750,0.101696825,0.162106192
PD01,18LPM,4,288,0.009620306,4800,0.059631563,0.096398521
PD01,45LPM,4,720,0.030597625,12000,0.231405401,0.34568658
PD07,18LPM,4,288,0.010948532,4800,0.059631563,0.096398521
PD07,45LPM,4,720,0.034017775,12000,0.231405401,0.34568658
PD03,18LPM,4,288,0.015728731,4800,0.059631563,0.096398521
PD03,45LPM,4,720,0.128189482,12000,0.231405401,0.34568658
PD02,18LPM,4,288,0.042305337,4800,0.059631563,0.096398521
PD02,45LPM,4,720,0.51298036,12000,0.231405401,0.34568658
PD08,18LPM,4,288,0.189388544,4800,0.059631563,0.096398521
PD08,45LPM,4,720,0.805120343,12000,0.231405401,0.34568658
PD20,18LPM,4,288,0.28105444,4800,0.059631563,0.096398521
PD20,45LPM,4,720,0.764460321,12000,0.231405401,0.34568658
PD21,18LPM,4,288,0.038477236,4800,0.059631563,0.096398521
PD21,45LPM,4,720,0.50927624,12000,0.231405401,0.34568658
PD09,18LPM,4,288,0.174118582,4800,0.059631563,0.096398521
PD09,45LPM,4,720,0.642120366,12000,0.231405401,0.34568658
PD19,18LPM,4,288,0.025879703,4800,0.059631563,0.096398521
PD19,45LPM,4,720,0.2125896,12000,0.231405401,0.34568658
PD10,18LPM,4,288,0.17476026,4800,0.059631563,0.096398521
PD10,45LPM,4,720,0.394102671,12000,0.231405401,0.34568658
PD13,18LPM,4,288,0.013578356,4800,0.059631563,0.096398521
PD13,45LPM,4,720,0.112863579,12000,0.231405401,0.34568658
PD01,18LPM,5,450,0.014856556,7500,0.119266073,0.188669255
PD01,45LPM,5,1125,0.085585588,18750,0.391334915,0.535232346
PD07,18LPM,5,450,0.016836056,7500,0.119266073,0.188669255
PD07,45LPM,5,1125,0.087721104,18750,0.391334915,0.535232346
PD03,18LPM,5,450,0.036283271,7500,0.119266073,0.188669255
PD03,45LPM,5,1125,0.235353914,18750,0.391334915,0.535232346
PD02,18LPM,5,450,0.127853407,7500,0.119266073,0.188669255
PD02,45LPM,5,1125,0.70722239,18750,0.391334915,0.535232346
PD08,18LPM,5,450,0.369037791,7500,0.119266073,0.188669255
PD08,45LPM,5,1125,0.940578717,18750,0.391334915,0.535232346
PD20,18LPM,5,450,0.629394238,7500,0.119266073,0.188669255
PD20,45LPM,5,1125,0.93577324,18750,0.391334915,0.535232346
PD21,18LPM,5,450,0.114060251,7500,0.119266073,0.188669255
PD21,45LPM,5,1125,0.781227757,18750,0.391334915,0.535232346
PD09,18LPM,5,450,0.371834479,7500,0.119266073,0.188669255
PD09,45LPM,5,1125,0.89426323,18750,0.391334915,0.535232346
PD19,18LPM,5,450,0.051605626,7500,0.119266073,0.188669255
PD19,45LPM,5,1125,0.449293269,18750,0.391334915,0.535232346
PD10,18LPM,5,450,0.242622897,7500,0.119266073,0.188669255
PD10,45LPM,5,1125,0.630217861,18750,0.391334915,0.535232346
PD13,18LPM,5,450,0.026452869,7500,0.119266073,0.188669255
PD13,45LPM,5,1125,0.311624618,18750,0.391334915,0.535232346
PD01,18LPM,6,648,0.023189,10800,0.201088451,0.305336436
PD01,45LPM,6,1620,0.18211615,27000,0.544429722,0.685212286
PD07,18LPM,6,648,0.026985271,10800,0.201088451,0.305336436
PD07,45LPM,6,1620,0.197420949,27000,0.544429722,0.685212286
PD03,18LPM,6,648,0.093895734,10800,0.201088451,0.305336436
PD03,45LPM,6,1620,0.3756003,27000,0.544429722,0.685212286
PD02,18LPM,6,648,0.37257125,10800,0.201088451,0.305336436
PD02,45LPM,6,1620,0.90430776,27000,0.544429722,0.685212286
PD08,18LPM,6,648,0.644200912,10800,0.201088451,0.305336436
PD08,45LPM,6,1620,0.984746204,27000,0.544429722,0.685212286
PD20,18LPM,6,648,0.771955124,10800,0.201088451,0.305336436
PD20,45LPM,6,1620,0.988059948,27000,0.544429722,0.685212286
PD21,18LPM,6,648,0.287631584,10800,0.201088451,0.305336436
PD21,45LPM,6,1620,0.902588071,27000,0.544429722,0.685212286
PD09,18LPM,6,648,0.521945717,10800,0.201088451,0.305336436
PD09,45LPM,6,1620,0.986294293,27000,0.544429722,0.685212286
PD19,18LPM,6,648,0.124574266,10800,0.201088451,0.305336436
PD19,45LPM,6,1620,0.641656416,27000,0.544429722,0.685212286
PD10,18LPM,6,648,0.350314559,10800,0.201088451,0.305336436
PD10,45LPM,6,1620,0.77639881,27000,0.544429722,0.685212286
PD13,18LPM,6,648,0.054137194,10800,0.201088451,0.305336436
PD13,45LPM,6,1620,0.566789246,27000,0.544429722,0.685212286
PD01,18LPM,7,882,0.038801069,14700,0.298302765,0.429542193
PD01,45LPM,7,2205,0.33845683,36750,0.668697776,0.788536182
PD07,18LPM,7,882,0.049725466,14700,0.298302765,0.429542193
PD07,45LPM,7,2205,0.360294898,36750,0.668697776,0.788536182
PD03,18LPM,7,882,0.158196805,14700,0.298302765,0.429542193
PD03,45LPM,7,2205,0.535539274,36750,0.668697776,0.788536182
PD02,18LPM,7,882,0.63359177,14700,0.298302765,0.429542193
PD02,45LPM,7,2205,0.962077508,36750,0.668697776,0.788536182
PD08,18LPM,7,882,0.794573274,14700,0.298302765,0.429542193
PD08,45LPM,7,2205,0.998670917,36750,0.668697776,0.788536182
PD20,18LPM,7,882,0.895990869,14700,0.298302765,0.429542193
PD20,45LPM,7,2205,0.996834746,36750,0.668697776,0.788536182
PD21,18LPM,7,882,0.514698275,14700,0.298302765,0.429542193
PD21,45LPM,7,2205,0.949892825,36750,0.668697776,0.788536182
PD09,18LPM,7,882,0.711852146,14700,0.298302765,0.429542193
PD09,45LPM,7,2205,0.998771689,36750,0.668697776,0.788536182
PD19,18LPM,7,882,0.24487264,14700,0.298302765,0.429542193
PD19,45LPM,7,2205,0.793710912,36750,0.668697776,0.788536182
PD10,18LPM,7,882,0.43700012,14700,0.298302765,0.429542193
PD10,45LPM,7,2205,0.86119866,36750,0.668697776,0.788536182
PD13,18LPM,7,882,0.119456726,14700,0.298302765,0.429542193
PD13,45LPM,7,2205,0.742416474,36750,0.668697776,0.788536182
PD01,18LPM,8,1152,0.061992392,19200,0.400979306,0.545516734
PD01,45LPM,8,2880,0.48938783,48000,0.760661197,0.855994937
PD07,18LPM,8,1152,0.098926296,19200,0.400979306,0.545516734
PD07,45LPM,8,2880,0.532405023,48000,0.760661197,0.855994937
PD03,18LPM,8,1152,0.23848272,19200,0.400979306,0.545516734
PD03,45LPM,8,2880,0.704752179,48000,0.760661197,0.855994937
PD02,18LPM,8,1152,0.80201764,19200,0.400979306,0.545516734
PD02,45LPM,8,2880,0.998767418,48000,0.760661197,0.855994937
PD08,18LPM,8,1152,0.933166503,19200,0.400979306,0.545516734
PD08,45LPM,8,2880,0.99999999,48000,0.760661197,0.855994937
PD20,18LPM,8,1152,0.953087483,19200,0.400979306,0.545516734
PD20,45LPM,8,2880,0.999488175,48000,0.760661197,0.855994937
PD21,18LPM,8,1152,0.704983261,19200,0.400979306,0.545516734
PD21,45LPM,8,2880,0.987012918,48000,0.760661197,0.855994937
PD09,18LPM,8,1152,0.84500253,19200,0.400979306,0.545516734
PD09,45LPM,8,2880,0.998258522,48000,0.760661197,0.855994937
PD19,18LPM,8,1152,0.417188136,19200,0.400979306,0.545516734
PD19,45LPM,8,2880,0.90461527,48000,0.760661197,0.855994937
PD10,18LPM,8,1152,0.5885499,19200,0.400979306,0.545516734
PD10,45LPM,8,2880,0.86902822,48000,0.760661197,0.855994937
PD13,18LPM,8,1152,0.235696565,19200,0.400979306,0.545516734
PD13,45LPM,8,2880,0.829761168,48000,0.760661197,0.855994937
PD01,18LPM,9,1458,0.105906514,24300,0.499768999,0.644252782
PD01,45LPM,9,3645,0.64768647,60750,0.825889415,0.899683637
PD07,18LPM,9,1458,0.150578335,24300,0.499768999,0.644252782
PD07,45LPM,9,3645,0.656022884,60750,0.825889415,0.899683637
PD03,18LPM,9,1458,0.33695769,24300,0.499768999,0.644252782
PD03,45LPM,9,3645,0.822322486,60750,0.825889415,0.899683637
PD02,18LPM,9,1458,0.897554267,24300,0.499768999,0.644252782
PD02,45LPM,9,3645,0.999897177,60750,0.825889415,0.899683637
PD08,18LPM,9,1458,0.976888963,24300,0.499768999,0.644252782
PD08,45LPM,9,3645,1.00000003,60750,0.825889415,0.899683637
PD20,18LPM,9,1458,0.973880956,24300,0.499768999,0.644252782
PD20,45LPM,9,3645,0.99979502,60750,0.825889415,0.899683637
PD21,18LPM,9,1458,0.829760298,24300,0.499768999,0.644252782
PD21,45LPM,9,3645,0.997640262,60750,0.825889415,0.899683637
PD09,18LPM,9,1458,0.949225745,24300,0.499768999,0.644252782
PD09,45LPM,9,3645,1.000000031,60750,0.825889415,0.899683637
PD19,18LPM,9,1458,0.595188119,24300,0.499768999,0.644252782
PD19,45LPM,9,3645,0.971810728,60750,0.825889415,0.899683637
PD10,18LPM,9,1458,0.65106928,24300,0.499768999,0.644252782
PD10,45LPM,9,3645,0.90716264,60750,0.825889415,0.899683637
PD13,18LPM,9,1458,0.348148125,24300,0.499768999,0.644252782
PD13,45LPM,9,3645,0.904688914,60750,0.825889415,0.899683637
PD01,18LPM,10,1800,0.20714138,30000,0.588387107,0.723479984
PD01,45LPM,10,4500,0.75781009,75000,0.871579382,0.928351172
PD07,18LPM,10,1800,0.207680917,30000,0.588387107,0.723479984
PD07,45LPM,10,4500,0.767796445,75000,0.871579382,0.928351172
PD03,18LPM,10,1800,0.45642789,30000,0.588387107,0.723479984
PD03,45LPM,10,4500,0.895430264,75000,0.871579382,0.928351172
PD02,18LPM,10,1800,0.953419445,30000,0.588387107,0.723479984
PD02,45LPM,10,4500,0.99999996,75000,0.871579382,0.928351172
PD08,18LPM,10,1800,0.991199165,30000,0.588387107,0.723479984
PD08,45LPM,10,4500,0.999897678,75000,0.871579382,0.928351172
PD20,18LPM,10,1800,0.987965863,30000,0.588387107,0.723479984
PD20,45LPM,10,4500,1,75000,0.871579382,0.928351172
PD21,18LPM,10,1800,0.898172887,30000,0.588387107,0.723479984
PD21,45LPM,10,4500,0.998554558,75000,0.871579382,0.928351172
PD09,18LPM,10,1800,0.983413096,30000,0.588387107,0.723479984
PD09,45LPM,10,4500,0.999999975,75000,0.871579382,0.928351172
PD19,18LPM,10,1800,0.779171121,30000,0.588387107,0.723479984
PD19,45LPM,10,4500,0.989047354,75000,0.871579382,0.928351172
PD10,18LPM,10,1800,0.78172103,30000,0.588387107,0.723479984
PD10,45LPM,10,4500,0.94942434,75000,0.871579382,0.928351172
PD13,18LPM,10,1800,0.499579671,30000,0.588387107,0.723479984
PD13,45LPM,10,4500,0.932836533,75000,0.871579382,0.928351172
PD01,18LPM,11,2178,0.32812182,36300,0.664041355,0.784926933
PD01,45LPM,11,5445,0.856422972,90750,0.903701869,0.947571717
PD07,18LPM,11,2178,0.295935917,36300,0.664041355,0.784926933
PD07,45LPM,11,5445,0.843153401,90750,0.903701869,0.947571717
PD03,18LPM,11,2178,0.55738415,36300,0.664041355,0.784926933
PD03,45LPM,11,5445,0.93156212,90750,0.903701869,0.947571717
PD02,18LPM,11,2178,0.980721892,36300,0.664041355,0.784926933
PD02,45LPM,11,5445,1.00000001,90750,0.903701869,0.947571717
PD08,18LPM,11,2178,0.998395824,36300,0.664041355,0.784926933
PD08,45LPM,11,5445,0.999999953,90750,0.903701869,0.947571717
PD20,18LPM,11,2178,0.993002554,36300,0.664041355,0.784926933
PD20,45LPM,11,5445,1,90750,0.903701869,0.947571717
PD21,18LPM,11,2178,0.950805458,36300,0.664041355,0.784926933
PD21,45LPM,11,5445,0.999065178,90750,0.903701869,0.947571717
PD09,18LPM,11,2178,0.969596054,36300,0.664041355,0.784926933
PD09,45LPM,11,5445,0.99999995,90750,0.903701869,0.947571717
PD19,18LPM,11,2178,0.879391632,36300,0.664041355,0.784926933
PD19,45LPM,11,5445,0.996366317,90750,0.903701869,0.947571717
PD10,18LPM,11,2178,0.90488071,36300,0.664041355,0.784926933
PD10,45LPM,11,5445,0.98430406,90750,0.903701869,0.947571717
PD13,18LPM,11,2178,0.64485185,36300,0.664041355,0.784926933
PD13,45LPM,11,5445,0.964139714,90750,0.903701869,0.947571717
PD01,18LPM,12,2592,0.44697054,43200,0.726551297,0.831802556
PD01,45LPM,12,6480,0.907918902,108000,0.926551781,0.960770259
PD07,18LPM,12,2592,0.374486943,43200,0.726551297,0.831802556
PD07,45LPM,12,6480,0.903116412,108000,0.926551781,0.960770259
PD03,18LPM,12,2592,0.66718487,43200,0.726551297,0.831802556
PD03,45LPM,12,6480,0.958882764,108000,0.926551781,0.960770259
PD02,18LPM,12,2592,0.995462886,43200,0.726551297,0.831802556
PD02,45LPM,12,6480,1,108000,0.926551781,0.960770259
PD08,18LPM,12,2592,0.999783892,43200,0.726551297,0.831802556
PD08,45LPM,12,6480,1.000000027,108000,0.926551781,0.960770259
PD20,18LPM,12,2592,0.995964616,43200,0.726551297,0.831802556
PD20,45LPM,12,6480,1,108000,0.926551781,0.960770259
PD21,18LPM,12,2592,0.982119378,43200,0.726551297,0.831802556
PD21,45LPM,12,6480,1,108000,0.926551781,0.960770259
PD09,18LPM,12,2592,0.986136627,43200,0.726551297,0.831802556
PD09,45LPM,12,6480,1.00000005,108000,0.926551781,0.960770259
PD19,18LPM,12,2592,0.931472626,43200,0.726551297,0.831802556
PD19,45LPM,12,6480,0.999477241,108000,0.926551781,0.960770259
PD10,18LPM,12,2592,0.94167395,43200,0.726551297,0.831802556
PD10,45LPM,12,6480,0.9967868,108000,0.926551781,0.960770259
PD13,18LPM,12,2592,0.763092815,43200,0.726551297,0.831802556
PD13,45LPM,12,6480,0.984152968,108000,0.926551781,0.960770259
PD01,18LPM,13,3042,0.54627822,50700,0.777185634,0.867377286
PD01,45LPM,13,7605,0.951655714,126750,0.943054773,0.970049739
PD07,18LPM,13,3042,0.462699636,50700,0.777185634,0.867377286
PD07,45LPM,13,7605,0.929530932,126750,0.943054773,0.970049739
PD03,18LPM,13,3042,0.74793344,50700,0.777185634,0.867377286
PD03,45LPM,13,7605,0.975852016,126750,0.943054773,0.970049739
PD02,18LPM,13,3042,0.997698856,50700,0.777185634,0.867377286
PD02,45LPM,13,7605,1.000000049,126750,0.943054773,0.970049739
PD08,18LPM,13,3042,0.999452253,50700,0.777185634,0.867377286
PD08,45LPM,13,7605,1.000000012,126750,0.943054773,0.970049739
PD20,18LPM,13,3042,0.997119758,50700,0.777185634,0.867377286
PD20,45LPM,13,7605,1,126750,0.943054773,0.970049739
PD21,18LPM,13,3042,0.992751201,50700,0.777185634,0.867377286
PD21,45LPM,13,7605,1.00000003,126750,0.943054773,0.970049739
PD09,18LPM,13,3042,1.00000002,50700,0.777185634,0.867377286
PD09,45LPM,13,7605,0.99999998,126750,0.943054773,0.970049739
PD19,18LPM,13,3042,0.94484739,50700,0.777185634,0.867377286
PD19,45LPM,13,7605,1.000000048,126750,0.943054773,0.970049739
PD10,18LPM,13,3042,0.95413968,50700,0.777185634,0.867377286
PD10,45LPM,13,7605,0.999687468,126750,0.943054773,0.970049739
PD13,18LPM,13,3042,0.842767261,50700,0.777185634,0.867377286
PD13,45LPM,13,7605,0.990457667,126750,0.943054773,0.970049739
PD01,18LPM,14,3528,0.6170016,58800,0.817769382,0.894424175
PD01,45LPM,14,8820,0.969653551,147000,0.955169564,0.976719749
PD07,18LPM,14,3528,0.55189196,58800,0.817769382,0.894424175
PD07,45LPM,14,8820,0.94651023,147000,0.955169564,0.976719749
PD03,18LPM,14,3528,0.801105601,58800,0.817769382,0.894424175
PD03,45LPM,14,8820,0.959486458,147000,0.955169564,0.976719749
PD02,18LPM,14,3528,0.999889022,58800,0.817769382,0.894424175
PD02,45LPM,14,8820,0.999999988,147000,0.955169564,0.976719749
PD08,18LPM,14,3528,0.99988893,58800,0.817769382,0.894424175
PD08,45LPM,14,8820,1.000000035,147000,0.955169564,0.976719749
PD20,18LPM,14,3528,0.999887399,58800,0.817769382,0.894424175
PD20,45LPM,14,8820,1.000000019,147000,0.955169564,0.976719749
PD21,18LPM,14,3528,0.997729043,58800,0.817769382,0.894424175
PD21,45LPM,14,8820,0.99999997,147000,0.955169564,0.976719749
PD09,18LPM,14,3528,1.000000005,58800,0.817769382,0.894424175
PD09,45LPM,14,8820,1.00000002,147000,0.955169564,0.976719749
PD19,18LPM,14,3528,0.954545496,58800,0.817769382,0.894424175
PD19,45LPM,14,8820,1.00000005,147000,0.955169564,0.976719749
PD10,18LPM,14,3528,0.96565016,58800,0.817769382,0.894424175
PD10,45LPM,14,8820,0.999895069,147000,0.955169564,0.976719749
PD13,18LPM,14,3528,0.917361718,58800,0.817769382,0.894424175
PD13,45LPM,14,8820,0.996700376,147000,0.955169564,0.976719749
PD01,18LPM,15,4050,0.70410588,67500,0.850163389,0.915108901
PD01,45LPM,15,10125,0.974655072,168750,0.964207818,0.981612354
PD07,18LPM,15,4050,0.64635099,67500,0.850163389,0.915108901
PD07,45LPM,15,10125,0.965625387,168750,0.964207818,0.981612354
PD03,18LPM,15,4050,0.85945183,67500,0.850163389,0.915108901
PD03,45LPM,15,10125,0.961143451,168750,0.964207818,0.981612354
PD02,18LPM,15,4050,0.999887258,67500,0.850163389,0.915108901
PD02,45LPM,15,10125,1.00000002,168750,0.964207818,0.981612354
PD08,18LPM,15,4050,0.99999997,67500,0.850163389,0.915108901
PD08,45LPM,15,10125,0.999999989,168750,0.964207818,0.981612354
PD20,18LPM,15,4050,0.999656338,67500,0.850163389,0.915108901
PD20,45LPM,15,10125,0.999999986,168750,0.964207818,0.981612354
PD21,18LPM,15,4050,0.998382103,67500,0.850163389,0.915108901
PD21,45LPM,15,10125,0.999999972,168750,0.964207818,0.981612354
PD09,18LPM,15,4050,1,67500,0.850163389,0.915108901
PD09,45LPM,15,10125,0.99999996,168750,0.964207818,0.981612354
PD19,18LPM,15,4050,0.987482948,67500,0.850163389,0.915108901
PD19,45LPM,15,10125,0.999786479,168750,0.964207818,0.981612354
PD10,18LPM,15,4050,0.97092767,67500,0.850163389,0.915108901
PD10,45LPM,15,10125,1.000000042,168750,0.964207818,0.981612354
PD13,18LPM,15,4050,0.953328129,67500,0.850163389,0.915108901
PD13,45LPM,15,10125,0.999274007,168750,0.964207818,0.981612354
PD01,18LPM,16,4608,0.7762092,76800,0.876024934,0.931057123
PD01,45LPM,16,11520,0.981702926,192000,0.971055638,0.985267917
PD07,18LPM,16,4608,0.744090491,76800,0.876024934,0.931057123
PD07,45LPM,16,11520,0.981913819,192000,0.971055638,0.985267917
